code_spf;categorie_fine;categorie-large;population
4;00 - 04 ans;0-11 ans;3632671
9;05 - 09 ans;0-11 ans;4069407
11;10 - 11 ans;0-11 ans;1703491
17;12 - 17 ans;12-17 ans;5070658
24;18 - 24 ans;18-29 ans;5474811
29;25 - 29 ans;18-29 ans;3699017
39;30 - 39 ans;30-49 ans;8279647
49;40 - 49 ans;30-49 ans;8572773
59;50 - 59 ans;50-64 ans;8814162
64;60 - 64 ans;50-64 ans;4125693
69;65 - 69 ans;65-74 ans;3875034
74;70 - 74 ans;65-74 ans;3680309
79;75 - 79 ans;75 ans et plus;2276900
80;80 ans et plus;75 ans et plus;4132668